,UserId,PublicToken,userloanapplicationid,STATUS,createdat,Status_text,Rule,Aries_score
0,7925074,98DA8105-0550-4A79-8A02-E7B5BB6E4299,87557.0,4.0,2023-09-18 08:15:31.556666,Accepted,,0.15612153650066388
1,7347034,90F9219D-A71F-44E5-9E0D-C7344B9D5605,87620.0,4.0,2023-09-18 11:33:17.120000,Accepted,,0.12162693880058309
2,7925558,3D731460-BC94-4675-84B5-AAD49D4BD2A8,87624.0,0.0,2023-09-18 11:37:24.166666,Denied,12.0,0.18876065595905459
3,7925548,FF8238EE-C9FD-4DCC-8CE7-746B0DFABEF2,87627.0,0.0,2023-09-18 11:40:08.016666,Denied,12.0,0.1775241467571687
4,7652701,4663795C-DBF2-4A81-B258-43DCC5F461B8,87632.0,4.0,2023-09-18 11:42:16.966666,Accepted,,0.04336504834440138
5,7925590,7A3C64FA-CCA3-485C-882F-0F0DB2C2941B,87634.0,4.0,2023-09-18 11:46:26.560000,Accepted,,0.0539110255548562
6,7925558,3D731460-BC94-4675-84B5-AAD49D4BD2A8,87637.0,0.0,2023-09-18 11:54:01.416666,Denied,12.0,0.18876065595905459
7,7925621,1775ADDF-3EDB-4958-8CA2-5F2C78363370,87640.0,4.0,2023-09-18 11:59:22.623333,Accepted,,0.1038323005160909
8,7925558,3D731460-BC94-4675-84B5-AAD49D4BD2A8,87644.0,0.0,2023-09-18 12:04:27.670000,Denied,12.0,0.1812780388087342
9,7554557,E66987C2-85A2-411B-AAC3-F1B7715F72E2,87643.0,4.0,2023-09-18 12:03:28.210000,Accepted,,0.12918301449587852
10,7726262,A30D9F81-15D4-4020-87DF-926070E106E0,87649.0,4.0,2023-09-18 12:09:16.206666,Accepted,,0.12132260565666672
11,7297509,00A05301-5095-4CAB-BA26-2333D60A908C,87647.0,3.0,2023-09-18 12:08:37.800000,Qualified,,0.049019217559682866
12,7017771,53915941-2504-4722-94F5-3DB0367BABD7,87648.0,4.0,2023-09-18 12:08:44.503333,Accepted,,0.05949324089672302
13,7784599,E54F85DD-EC4E-4F6D-992E-3220D45CCE74,87652.0,4.0,2023-09-18 12:14:48.890000,Accepted,,0.14574196742229498
14,7917458,1A5A1D20-B09B-4FD0-93A9-46D502199A82,87667.0,0.0,2023-09-18 12:36:57.840000,Denied,12.0,0.1919766144299211
15,7925830,4F506617-9C4C-4523-9CAB-954CCB52F427,87668.0,4.0,2023-09-18 12:38:27.000000,Accepted,,0.03606956828118669
16,7053764,C57D17DD-95AB-4FCC-91F2-391635863E0F,87676.0,4.0,2023-09-18 12:50:18.293333,Accepted,,0.10577785782774098
17,7232161,A6BD605F-2879-4AF2-BF60-580F67833E31,87702.0,4.0,2023-09-18 13:08:42.696666,Accepted,,0.15461785214698817
18,6453211,321EEB18-1FA0-470B-A629-FFB3F7B5CEB8,87703.0,0.0,2023-09-18 13:08:47.120000,Denied,12.0,0.20881601818224213
19,7823379,A31658EB-43ED-48BD-9ADF-D927DCD35D4B,87705.0,4.0,2023-09-18 13:09:54.320000,Accepted,,0.10521135054697046
20,7920536,D23CFB00-008C-4D7F-9D6C-093BA46AF249,87710.0,4.0,2023-09-18 13:11:54.776666,Accepted,,0.13294188747182253
21,7428898,77D9B830-1525-495D-92A6-498A02380346,87716.0,4.0,2023-09-18 13:13:23.820000,Accepted,,0.12849346127326403
22,7694074,34F5EA6D-6B1B-4906-A7D2-9F2B236A6409,87719.0,0.0,2023-09-18 13:14:35.883333,Denied,12.0,0.16180843948503765
23,6483542,A6024D18-B542-4DCB-82A3-91FE264CB9D4,87722.0,4.0,2023-09-18 13:15:46.623333,Accepted,,0.13646499056788863
24,7926006,0D2FEBEA-5601-42A9-AAD7-3662FBB251E8,87723.0,4.0,2023-09-18 13:16:01.180000,Accepted,,0.06211165420598399
25,7304401,8742659E-EBC5-45F3-854F-DB0AF74446B9,87725.0,2.0,2023-09-18 13:17:16.423333,Incomplete,,0.06348662083542476
26,7344645,824DCDCA-4645-4373-AE28-89CF63F0A0C1,87733.0,4.0,2023-09-18 13:20:02.763333,Accepted,,0.07343525517265648
27,7600907,38FC771A-FF42-4629-86DC-1FDF59C6B415,87735.0,4.0,2023-09-18 13:20:09.533333,Accepted,,0.10255742860647467
28,6764839,2D7E85C7-3443-4557-B5F3-F3F17C710E1E,87741.0,0.0,2023-09-18 13:23:47.240000,Denied,12.0,0.18427882730482595
29,7926041,233E87E7-C40A-477B-8216-122434639E12,87743.0,0.0,2023-09-18 13:25:08.980000,Denied,12.0,0.18069352899928456
30,7271905,EA21C4FA-0D3C-4EB7-8317-3A33B88F88BD,87750.0,4.0,2023-09-18 13:27:40.410000,Accepted,,0.07314405978278431
31,7345216,5DF04129-FFC0-4C98-9F06-AB54120E4936,87755.0,0.0,2023-09-18 13:30:33.723333,Denied,12.0,0.23022704973413527
32,7794214,AF2B86AF-D0E9-4059-943F-4F626234C1F4,87760.0,4.0,2023-09-18 13:34:27.670000,Accepted,,0.15496851018379987
33,6578375,37694B47-4660-4488-8081-87010D8F838B,87606.0,0.0,2023-09-18 10:53:08.713333,Denied,12.0,0.21036400832276356
34,7555738,BCCDAC58-8AF5-4696-A75F-526F41E6A4DA,87711.0,0.0,2023-09-18 13:12:01.700000,Denied,12.0,0.20706547496669314
35,7817727,81C1FF1D-7BB0-47C3-972C-5EF9E15F62BD,87768.0,4.0,2023-09-18 13:44:07.003333,Accepted,,0.14355050370448438
36,6453211,321EEB18-1FA0-470B-A629-FFB3F7B5CEB8,87774.0,0.0,2023-09-18 13:47:53.940000,Denied,12.0,0.20881601818224213
37,6844100,DC17ED7C-FBAA-44D8-ACC0-2D64F4F16E06,87776.0,3.0,2023-09-18 13:49:22.096666,Qualified,,0.08337479796472803
38,7792154,2660D48F-44D1-43D6-BB74-E340FC20037B,87781.0,4.0,2023-09-18 13:51:29.500000,Accepted,,0.12413898070822245
39,7166366,4B1DF0F3-6E39-4D52-979E-2A084284B3F6,87783.0,0.0,2023-09-18 13:52:42.836666,Denied,12.0,0.34522683011179456
40,7154245,F80E6E05-36AB-42F6-97FE-C39FDFC84D8E,87796.0,0.0,2023-09-18 14:01:32.880000,Denied,12.0,0.2535373330769571
41,7460389,5CAFC9FB-6B40-4940-B0D3-8DD729D94DB2,87805.0,0.0,2023-09-18 14:03:42.110000,Denied,12.0,0.2021570715434752
42,7582022,13FC6BEC-1C77-4959-9F94-1FEB9D3CE306,87807.0,4.0,2023-09-18 14:04:55.096666,Accepted,,0.13181905074189987
43,7085564,8FDF5DE3-6ED4-4839-A164-1CEA9E4ACAFE,87808.0,4.0,2023-09-18 14:05:31.753333,Accepted,,0.052761092325793874
44,6909997,88F789CA-E651-41FC-88C4-7C32D192D84D,87816.0,0.0,2023-09-18 14:07:37.473333,Denied,12.0,0.22184067577258837
45,6654149,B374F405-F02F-4150-BC9A-0BAF4DE17163,87821.0,4.0,2023-09-18 14:08:24.030000,Accepted,,0.11635283660938957
46,6444048,186E5E26-58F8-4FB1-A0AE-36D8C9D86E72,87813.0,4.0,2023-09-18 14:07:28.426666,Accepted,,0.1470947887431537
47,7650090,E83A7D3C-F2B5-4594-B653-1545FFDF3256,87826.0,4.0,2023-09-18 14:09:01.633333,Accepted,,0.09238048244356614
48,7196404,B89D46AC-986D-4F23-A958-1CE4B1DA9CB5,87817.0,4.0,2023-09-18 14:07:52.483333,Accepted,,0.1356019409752898
49,7926437,FFAE997D-37AC-4F5E-AEA5-F04F718738E1,87825.0,4.0,2023-09-18 14:08:47.023333,Accepted,,0.062910393692205
50,7373930,A7630B1C-B257-4F4E-83FF-8A97FD113DEF,87834.0,4.0,2023-09-18 14:11:08.683333,Accepted,,0.1582887394539139
51,7659311,E1D8CB05-0C13-4B1A-B131-075759F777D5,87829.0,0.0,2023-09-18 14:09:47.323333,Denied,12.0,0.257431102892142
52,6929906,B5300384-E6A6-444C-A8CF-FB68534C3F3A,87837.0,0.0,2023-09-18 14:11:34.090000,Denied,12.0,0.17323729066538393
53,6762079,9240475A-1D62-4D53-9A99-A08B4422AEF8,87840.0,0.0,2023-09-18 14:12:34.120000,Denied,12.0,0.21586058827238896
54,6929906,B5300384-E6A6-444C-A8CF-FB68534C3F3A,87842.0,0.0,2023-09-18 14:13:09.616666,Denied,12.0,0.19131710149032877
55,7926423,78AE2609-C0D4-4763-A9E5-6ABFDFC4ACD7,87841.0,0.0,2023-09-18 14:12:50.550000,Denied,12.0,0.16793175448266082
56,7458146,43D10C18-7A7F-4894-9D39-5AFB2B0F414C,87843.0,0.0,2023-09-18 14:13:19.340000,Denied,12.0,0.17933941773640585
57,7326933,F5170678-0784-4EED-8E17-9C0D7EDA7856,87850.0,4.0,2023-09-18 14:16:04.553333,Accepted,,0.12381159167126478
58,7296380,DF1CED2E-D5D2-42C9-B8ED-F3EE7AC0ADAB,87857.0,4.0,2023-09-18 14:18:47.590000,Accepted,,0.12008565442840602
59,6402935,E85E99AD-EE53-4E03-8CD0-45FC732A2EC2,87852.0,4.0,2023-09-18 14:17:22.063333,Accepted,,0.09855620178333228
60,6886040,774C8293-A0D3-416B-B69F-8C3B20AE3E33,87859.0,0.0,2023-09-18 14:19:43.483333,Denied,12.0,0.3007582453815719
